site_name,month,date.on.trap,date.off.trap,n_days,precipitation_accumulation_mm,max_relative_humidity_mean,min_relative_humidity_mean,surface_downwelling_shortwave_flux_in_air_mean,specific_humidity_mean,max_air_temperature_mean_K,min_air_temperature_mean_K,mean_vapor_pressure_deficit_mean_kPa,wind_speed_ms_mean
ABUCR,2022-11-01,2022-11-10,2022-11-16,7,0.0,46.642857142857146,14.642857142857144,166.41428571428574,0.0029500000000000004,281.5571428571429,294.85714285714283,1.3900000000000001,2.942857142857143
ABUCR,2022-12-01,2022-11-30,2022-12-07,8,0.0,85.4625,35.525000000000006,124.0875,0.00582125,280.875,293.85,0.8325,2.9625000000000004
ABUCR,2023-02-01,2023-02-01,2023-02-09,9,0.0,61.12222222222223,17.922222222222224,186.60000000000002,0.0031488888888888894,277.5444444444445,293.4777777777778,1.1277777777777778,2.7777777777777777
ABUCR,2023-03-01,2023-03-03,2023-03-09,7,0.0,75.57142857142857,27.371428571428574,221.54285714285717,0.004322857142857143,278.85714285714283,293.85714285714283,1.0114285714285713,3.2142857142857144
ABUCR,2023-04-01,2023-04-05,2023-04-12,8,0.0,58.05,15.350000000000001,287.6375,0.00477125,283.5625,302.4875,2.015,2.5
ABUCR,2023-05-01,2023-05-01,2023-05-10,10,0.0,74.16,26.72,308.98,0.006162000000000001,284.33,300.13,1.5050000000000001,4.55
ABUCR,2023-06-01,2023-06-09,2023-06-16,8,0.0,74.22500000000001,26.6625,315.32500000000005,0.00945375,291.025,307.4,2.27875,4.575
ABUCR,2023-07-01,2023-07-12,2023-07-19,8,0.0,47.175000000000004,13.412500000000001,313.83750000000003,0.00955625,298.725,318.1375,4.97625,3.35
ABUCR,2023-08-01,2023-08-02,2023-08-09,8,0.0,41.2625,11.55,297.38750000000005,0.006772500000000001,295.425,314.6625,4.3325000000000005,3.5875000000000004
ABUCR,2023-09-01,2023-09-06,2023-09-13,8,0.0,53.925000000000004,17.475,236.3375,0.008682500000000001,295.4375,312.0125,3.515,3.7
ABUCR,2023-10-01,2023-10-11,2023-10-18,8,0.0,52.862500000000004,12.100000000000001,206.82500000000002,0.00496375,287.2375,306.825,2.6875,1.8750000000000002
ABUCR,2023-11-01,2023-11-10,2023-11-14,5,0.0,35.24,7.1,162.52,0.0025060000000000004,283.64,300.26,2.0460000000000003,2.02
LRVP,2022-08-01,2022-08-24,2022-08-31,8,0.0,94.5125,58.650000000000006,297.55,0.013083750000000002,292.425,299.125,0.69625,2.4375
LRVP,2022-09-01,2022-09-13,2022-09-20,8,0.0,98.925,57.575,265.1875,0.01189625,289.475,297.4375,0.53125,2.6125000000000003
LRVP,2022-10-01,2022-10-05,2022-10-13,9,0.6000000000000001,83.03333333333335,51.300000000000004,221.83333333333334,0.01009,290.65555555555557,295.8888888888889,0.7611111111111112,2.033333333333333
LRVP,2022-11-01,2022-11-02,2022-11-08,7,37.0,91.4857142857143,44.15714285714286,141.6,0.007011428571428572,283.5285714285714,292.18571428571425,0.6114285714285714,4.185714285714286
LRVP,2022-12-01,2022-11-30,2022-12-07,8,0.0,95.8875,52.625,110.725,0.007123750000000001,282.1375,290.1875,0.4025,2.7750000000000004
LRVP,2023-02-01,2023-02-01,2023-02-09,9,0.0,82.38888888888889,30.544444444444448,195.6888888888889,0.004915555555555556,279.0,291.44444444444446,0.7333333333333333,2.655555555555556
LRVP,2023-03-01,2023-03-03,2023-03-09,7,0.0,99.91428571428571,56.58571428571429,228.40000000000003,0.006437142857142857,279.25714285714287,287.87142857142857,0.2714285714285714,2.5714285714285716
LRVP,2023-04-01,2023-04-05,2023-04-12,8,5.300000000000001,99.925,56.175000000000004,305.45000000000005,0.00769125,282.225,290.725,0.3525,2.0500000000000003
LRVP,2023-05-01,2023-05-01,2023-05-10,10,5.2,96.9,64.65,296.2900000000001,0.008305,284.23,290.15999999999997,0.29100000000000004,3.3600000000000003
LRVP,2023-06-01,2023-06-09,2023-06-16,8,1.0,94.9375,72.3875,329.02500000000003,0.010345,288.2875,292.125,0.28875,2.4000000000000004
LRVP,2023-07-01,2023-07-05,2023-07-12,8,0.0,95.125,54.425000000000004,354.52500000000003,0.0104075,288.6625,296.3875,0.645,2.125
LRVP,2023-08-01,2023-08-02,2023-08-09,8,0.0,97.525,51.5875,302.3125,0.011997500000000001,290.1125,299.425,0.7462500000000001,2.8125
LRVP,2023-09-01,2023-09-06,2023-09-13,8,0.0,96.2,50.875,254.66250000000002,0.01255875,291.2,300.2625,0.8275,2.1625
LRVP,2023-10-01,2023-10-04,2023-10-11,8,2.7,99.425,45.35,225.75,0.010783750000000002,287.5125,299.0875,0.7875000000000001,2.0375
PSP,2023-02-01,2023-02-02,2023-02-10,9,0.0,54.91111111111111,14.833333333333334,182.93333333333334,0.0029133333333333337,278.73333333333335,294.1666666666667,1.241111111111111,2.566666666666667
PSP,2023-03-01,2023-03-02,2023-03-08,7,0.0,67.21428571428571,24.47142857142857,224.58571428571432,0.004148571428571429,280.8,294.4714285714286,1.1400000000000001,2.3142857142857145
PSP,2023-04-01,2023-04-06,2023-04-13,8,0.0,39.9,9.4875,294.3125,0.003555,286.8875,304.15,2.53625,2.5125
PSP,2023-05-01,2023-05-03,2023-05-11,9,0.0,50.41111111111112,15.97777777777778,341.24444444444447,0.004825555555555556,287.94444444444446,303.43333333333334,2.25,3.355555555555556
PSP,2023-06-01,2023-06-08,2023-06-15,8,0.0,56.362500000000004,18.275000000000002,343.83750000000003,0.006928750000000001,292.1,307.1875,2.67125,3.25
PSP,2023-07-01,2023-07-06,2023-07-13,8,0.0,46.175000000000004,13.2375,337.3125,0.00916625,299.9375,315.7625,4.57625,4.0875
PSP,2023-08-01,2023-08-03,2023-08-10,8,0.0,49.9375,14.662500000000001,315.175,0.009886250000000001,300.5375,315.59999999999997,4.48,3.8875
PSP,2023-09-01,2023-09-06,2023-09-13,8,0.0,55.775000000000006,16.0875,240.8,0.009655,298.3375,313.55,3.8725,2.8875
PSP,2023-10-01,2023-10-05,2023-10-12,8,0.0,55.68750000000001,15.575000000000001,220.47500000000002,0.007293750000000001,292.8625,309.15000000000003,2.995,2.6375
PSP,2023-11-01,2023-11-09,2023-11-14,6,0.0,38.733333333333334,9.016666666666667,170.0666666666667,0.0029550000000000006,284.51666666666665,299.95,1.9749999999999999,2.566666666666667
PSP,2023-12-01,2023-12-04,2023-12-12,9,0.0,44.144444444444446,12.711111111111112,147.61111111111111,0.0029811111111111115,281.82222222222225,295.8555555555556,1.482222222222222,2.177777777777778
TDS,2022-09-01,2022-09-15,2022-09-22,8,0.0,63.3875,27.462500000000002,252.5,0.0069125,287.1,298.5875,1.435,2.75
TDS,2022-10-01,2022-10-19,2022-10-26,8,3.7,65.03750000000001,32.9,205.1125,0.0059162500000000005,284.1625,293.1125,1.01125,3.3000000000000003
TDS,2022-11-01,2022-11-01,2022-11-09,9,45.8,89.35555555555555,43.0,152.3,0.005431111111111112,275.5111111111111,289.1111111111111,0.5188888888888888,4.2444444444444445
TDS,2022-12-01,2022-12-05,2022-12-12,8,15.600000000000001,85.1375,50.837500000000006,122.2625,0.004537500000000001,274.675,283.25,0.315,3.5000000000000004
TDS,2023-02-01,2023-02-02,2023-02-10,9,0.0,56.7,26.822222222222226,191.51111111111112,0.0031011111111111118,276.7555555555556,285.0888888888889,0.6566666666666667,2.966666666666667
TDS,2023-03-01,2023-03-07,2023-03-14,8,35.7,91.7,56.112500000000004,194.65,0.0067525,278.3625,287.4875,0.3225,3.9625000000000004
TDS,2023-04-01,2023-04-04,2023-04-11,8,0.0,69.11250000000001,28.6,305.9125,0.0050425,279.6875,291.0125,0.8525,2.2625
TDS,2023-05-01,2023-05-03,2023-05-11,9,5.5,98.86666666666666,62.76666666666668,331.3,0.007545555555555557,277.4,288.29999999999995,0.2488888888888889,4.333333333333333
TDS,2023-06-01,2023-06-07,2023-06-14,8,2.2,100.0,67.10000000000001,339.4875,0.01050125,281.7125,291.85,0.21000000000000002,4.175000000000001
TDS,2023-07-01,2023-07-06,2023-07-13,8,0.0,54.2625,20.25,335.9375,0.0072625,288.9125,302.9625,1.9700000000000002,3.7125000000000004
TDS,2023-08-01,2023-08-03,2023-08-10,8,0.4,56.3125,25.5375,292.5375,0.0077800000000000005,290.3625,303.15,2.02625,3.8000000000000003
TDS,2023-09-01,2023-09-07,2023-09-14,8,0.0,61.400000000000006,28.137500000000003,246.275,0.0091275,291.7625,302.7125,1.8675000000000002,3.8000000000000003
TDS,2023-10-01,2023-10-05,2023-10-12,8,0.4,56.825,24.1875,230.88750000000002,0.0066075000000000005,288.9375,299.2375,1.69875,2.8875
WR,2022-08-01,2022-08-09,2022-08-16,8,5.1000000000000005,64.375,25.8125,296.58750000000003,0.009585,292.2125,305.9125,2.205,2.5625
WR,2022-09-01,2022-09-13,2022-09-20,8,0.0,87.97500000000001,34.375,253.66250000000002,0.007895000000000001,283.975,298.1625,1.0987500000000001,3.4125
WR,2022-10-01,2022-10-06,2022-10-13,8,1.2000000000000002,72.73750000000001,25.85,213.22500000000002,0.007401250000000001,286.1375,300.25,1.47625,1.675
WR,2022-11-01,2022-11-02,2022-11-08,7,96.4,78.68571428571428,40.114285714285714,151.3714285714286,0.004751428571428571,277.5857142857143,288.12857142857143,0.6185714285714285,4.114285714285715
WR,2022-12-01,2022-11-30,2022-12-07,8,0.4,92.85000000000001,53.25,121.11250000000001,0.0054262500000000005,276.8125,285.225,0.33,3.1875
WR,2023-02-01,2023-02-01,2023-02-09,9,0.6000000000000001,61.300000000000004,25.07777777777778,188.42222222222222,0.0029233333333333333,274.6222222222222,286.31111111111113,0.6811111111111112,2.9222222222222225
WR,2023-03-01,2023-03-03,2023-03-09,7,0.0,85.74285714285715,46.814285714285724,221.74285714285716,0.004121428571428572,274.5,283.7714285714286,0.39142857142857146,3.1714285714285713
WR,2023-04-01,2023-04-05,2023-04-12,8,3.0,80.8375,29.387500000000003,296.6125,0.00517875,277.875,292.6125,0.84125,2.45
WR,2023-05-01,2023-05-01,2023-05-10,10,20.6,96.78,56.28000000000001,313.12,0.006279000000000002,278.35,287.3,0.35,4.57
WR,2023-06-01,2023-06-09,2023-06-16,8,5.1000000000000005,90.47500000000001,56.712500000000006,329.76250000000005,0.00884875,285.0875,292.7,0.57125,4.45
WR,2023-07-01,2023-07-05,2023-07-12,8,0.0,64.10000000000001,21.762500000000003,349.1,0.00677375,286.3,302.1875,1.8137500000000002,3.5875000000000004
WR,2023-08-01,2023-08-02,2023-08-09,8,0.7000000000000001,62.8875,23.5375,305.71250000000003,0.0075112500000000006,288.525,303.4875,1.97375,3.6875
WR,2023-09-01,2023-09-06,2023-09-13,8,0.0,73.55,28.425,251.8125,0.008628750000000001,288.475,302.475,1.6975,3.75
WR,2023-10-01,2023-10-04,2023-10-11,8,3.1,66.2125,22.5,228.2375,0.006123750000000001,284.9625,300.2,1.65,2.875
